method,bag,alignment,samples,duration_s,mean_position_error_m,rmse_position_m,final_position_error_m,std_position_error_m,p95_position_error_m,max_position_error_m,mean_abs_error_change_m,mean_abs_yaw_error_rad,rmse_yaw_rad,final_abs_yaw_error_rad,std_abs_yaw_error_rad,p95_abs_yaw_error_rad,mean_amcl_covariance_xy,mean_amcl_covariance_yaw,mean_update_rate_hz,max_update_gap_s,max_pair_dt_s
hector,/home/ros/catkin_ws/src/Localiza-o-Robotica_at3/results/localization/amcl_hector.bag,direct_same_frame,116,68.06,0.25022363503163797,0.2782543793499662,0.19034900283229092,0.12171126529203677,0.4180435508831666,0.42912624064512256,0.012588756060565033,0.013626884281274747,0.01812177320343739,0.05150100205892527,0.01194599049143974,0.03811513197975436,0.01930200711844452,0.002374250692083612,1.6896855715545107,3.259999999999998,0.020000000000003126
gmapping,/home/ros/catkin_ws/src/Localiza-o-Robotica_at3/results/localization/amcl_gmapping.bag,direct_same_frame,116,68.22,0.2179258400980402,0.2522168485498683,0.10147466984075382,0.1269711262846424,0.4066540978513831,0.421371126251884,0.0117839582427065,0.013561961116890706,0.019441163647111705,0.05045867182471098,0.013929538923371522,0.04888012831139821,0.02072418966168905,0.002435987713523032,1.6857226619759602,3.3000000000000043,0.020000000000003126
