time_s,elapsed_s,estimate_x_m,estimate_y_m,estimate_yaw_rad,gt_x_m,gt_y_m,gt_yaw_rad,position_error_m,yaw_error_rad,abs_yaw_error_rad,pair_dt_s,amcl_covariance_xy,amcl_covariance_yaw
55.200000000,18.920000000,3.463253073,0.147245085,1.002165239,3.523500408,0.056825272,1.030750952,0.108653044,-0.028585713,0.028585713,0.020000000,0.002826965,0.000528420
55.320000000,19.040000000,3.482250719,0.176530257,1.105697319,3.555621325,0.062769491,1.133381134,0.135368969,-0.027683815,0.027683815,0.020000000,0.002564609,0.000536709
55.440000000,19.160000000,3.499231129,0.210899528,1.215607080,3.575056220,0.073073492,1.207571113,0.157306900,0.008035967,0.008035967,0.020000000,0.002364586,0.000524487
55.560000000,19.280000000,3.513061051,0.243423148,1.325018065,3.595596200,0.125804008,1.358519056,0.143688249,-0.033500991,0.033500991,0.020000000,0.002326255,0.000552799
55.660000000,19.380000000,3.522476403,0.270225471,1.431428537,3.615945657,0.139606378,1.442060535,0.160617088,-0.010631998,0.010631998,0.000000000,0.002208944,0.000538376
55.780000000,19.500000000,3.528226489,0.302741444,1.543822033,3.646720533,0.158045850,1.554731407,0.187023136,-0.010909374,0.010909374,0.000000000,0.002061202,0.000513432
55.900000000,19.620000000,3.529818435,0.333410950,1.657563819,3.675501911,0.177297519,1.670902509,0.213530042,-0.013338690,0.013338690,0.000000000,0.002235109,0.000548543
56.020000000,19.740000000,3.528357591,0.364485309,1.765496307,3.698676427,0.203076265,1.781497721,0.234651625,-0.016001414,0.016001414,0.000000000,0.002022649,0.000527880
56.140000000,19.860000000,3.522864272,0.395697136,1.876509447,3.714098519,0.234299924,1.895795536,0.250239081,-0.019286089,0.019286089,0.000000000,0.001832270,0.000534819
56.260000000,19.980000000,3.514064059,0.420061786,1.982411804,3.699652321,0.274398567,2.005545412,0.235925362,-0.023133609,0.023133609,0.000000000,0.001447626,0.000494643
56.380000000,20.100000000,3.498109788,0.451091014,2.096191197,3.713036637,0.308837507,2.120068790,0.257739424,-0.023877593,0.023877593,0.000000000,0.001340909,0.000474365
56.500000000,20.220000000,3.478873234,0.477281985,2.205985863,3.730563432,0.340539960,2.232539086,0.286437318,-0.026553223,0.026553223,0.000000000,0.001222749,0.000496147
